PacketID,PacketName,PacketType,Direction,Size,Encrypted,Description
0x00,"RequestAuthLogin","Login","ClientToServer",32,true,"Authentication login request"
0x01,"LoginOk","Login","ServerToClient",16,true,"Login successful response"
0x02,"LoginFail","Login","ServerToClient",8,true,"Login failed response"
0x03,"RequestCharacterList","Character","ClientToServer",4,true,"Request character list"
0x04,"CharacterList","Character","ServerToClient",256,true,"Character list response"
0x05,"RequestSelectCharacter","Character","ClientToServer",8,true,"Select character request"
0x06,"CharacterSelected","Character","ServerToClient",64,true,"Character selected response"
0x0B,"RequestMoveToLocation","Game","ClientToServer",16,false,"Move to location request"
0x0C,"MoveToLocation","Game","ServerToClient",20,false,"Move to location notification"
0x0D,"RequestAttack","Game","ClientToServer",8,false,"Attack target request"
0x0E,"Attack","Game","ServerToClient",12,false,"Attack notification"
0x38,"Say2","Chat","ClientToServer",256,false,"Chat message"
0x4A,"CreatureSay","Chat","ServerToClient",256,false,"Creature say message"
